Berlin,"Berlin, Stadt",Berlin
Hürth,"Hürth, Stadt",Nordrhein-Westfalen
Euskirchen,"Euskirchen, Stadt",Nordrhein-Westfalen
Göppingen,"Göppingen, Stadt",Baden-Württemberg
Eschweiler,"Eschweiler, Stadt",Nordrhein-Westfalen
Hilden,"Hilden, Stadt",Nordrhein-Westfalen
Meerbusch,"Meerbusch, Stadt",Nordrhein-Westfalen
Menden (Sauerland),"Menden (Sauerland), Stadt",Nordrhein-Westfalen
Görlitz,"Görlitz, Stadt",Sachsen
Hattingen,"Hattingen, Stadt",Nordrhein-Westfalen
Sankt Augustin,"Sankt Augustin, Stadt",Nordrhein-Westfalen
Neu-Ulm,"Neu-Ulm, GKSt",Bayern
Pulheim,"Pulheim, Stadt",Nordrhein-Westfalen
Baden-Baden,"Baden-Baden, Stadt",Baden-Württemberg
Neustadt an der Weinstraße,"Neustadt an der Weinstraße, Stadt",Rheinland-Pfalz
Bad Salzuflen,"Bad Salzuflen, Stadt",Nordrhein-Westfalen
Schweinfurt,Schweinfurt,Bayern
Nordhorn,"Nordhorn, Stadt",Niedersachsen
Ahlen,"Ahlen, Stadt",Nordrhein-Westfalen
Waiblingen,"Waiblingen, Stadt",Baden-Württemberg
Lingen (Ems),"Lingen (Ems), Stadt",Niedersachsen
Bad Homburg v. d. Höhe,"Bad Homburg v. d. Höhe, Stadt",Hessen
Wolfenbüttel,"Wolfenbüttel, Stadt",Niedersachsen
Langenhagen,"Langenhagen, Stadt",Niedersachsen
Wetzlar,"Wetzlar, Stadt",Hessen
Willich,"Willich, Stadt",Nordrhein-Westfalen
Ibbenbüren,"Ibbenbüren, Stadt",Nordrhein-Westfalen
Frechen,"Frechen, Stadt",Nordrhein-Westfalen
Emden,"Emden, Stadt",Niedersachsen
Gummersbach,"Gummersbach, Stadt",Nordrhein-Westfalen
Speyer,"Speyer, Stadt",Rheinland-Pfalz
Erftstadt,"Erftstadt, Stadt",Nordrhein-Westfalen
Bergkamen,"Bergkamen, Stadt",Nordrhein-Westfalen
Cuxhaven,"Cuxhaven, Stadt",Niedersachsen
Passau,Passau,Bayern
Peine,"Peine, Stadt",Niedersachsen
Ravensburg,"Ravensburg, Stadt",Baden-Württemberg
Bad Oeynhausen,"Bad Oeynhausen, Stadt",Nordrhein-Westfalen
Lörrach,"Lörrach, Stadt",Baden-Württemberg
Kleve,"Kleve, Stadt",Nordrhein-Westfalen
Elmshorn,"Elmshorn, Stadt",Schleswig-Holstein
Wittenberg,"Wittenberg, Lutherstadt",Sachsen-Anhalt
Rastatt,"Rastatt, Stadt",Baden-Württemberg
Rheda-Wiedenbrück,"Rheda-Wiedenbrück, Stadt",Nordrhein-Westfalen
Soest,"Soest, Stadt",Nordrhein-Westfalen
Frankenthal (Pfalz),"Frankenthal (Pfalz), Stadt",Rheinland-Pfalz
Herzogenrath,"Herzogenrath, Stadt",Nordrhein-Westfalen
Schwerte,"Schwerte, Stadt",Nordrhein-Westfalen
Alsdorf,"Alsdorf, Stadt",Nordrhein-Westfalen
Bornheim,"Bornheim, Stadt",Nordrhein-Westfalen
Dülmen,"Dülmen, Stadt",Nordrhein-Westfalen
Heidenheim an der Brenz,"Heidenheim an der Brenz, Stadt",Baden-Württemberg
Neunkirchen,"Neunkirchen, Kreisstadt",Saarland
Melle,"Melle, Stadt",Niedersachsen
Gronau (Westf.),"Gronau (Westf.), Stadt",Nordrhein-Westfalen
Bünde,"Bünde, Stadt",Nordrhein-Westfalen
Stade,"Stade, Hansestadt",Niedersachsen
Böblingen,"Böblingen, Stadt",Baden-Württemberg
Singen (Hohentwiel),"Singen (Hohentwiel), Stadt",Baden-Württemberg
Hennef (Sieg),"Hennef (Sieg), Stadt",Nordrhein-Westfalen
Leonberg,"Leonberg, Stadt",Baden-Württemberg
Freising,"Freising, GKSt",Bayern
Straubing,Straubing,Bayern
Hof,Hof,Bayern
Albstadt,"Albstadt, Stadt",Baden-Württemberg
Gotha,"Gotha, Stadt",Thüringen
Oberursel (Taunus),"Oberursel (Taunus), Stadt",Hessen
Filderstadt,"Filderstadt, Stadt",Baden-Württemberg
